id,level_id,slug,title,description,ordinal
199,56,grade-10,Grade 10,"Grade 10",1
200,56,grade-11,Grade 11,"Grade 11",2
201,56,grade-12,Grade 12,"Grade 12",3
202,57,pp1,PP1,"Pre-Primary 1",1
203,57,pp2,PP2,"Pre-Primary 2",2
204,57,grade-1,Grade 1,"Grade 1",3
205,57,grade-2,Grade 2,"Grade 2",4
206,57,grade-3,Grade 3,"Grade 3",5
207,58,grade-4,Grade 4,"Grade 4",1
208,58,grade-5,Grade 5,"Grade 5",2
209,58,grade-6,Grade 6,"Grade 6",3
210,59,grade-7,Grade 7,"Grade 7",1
211,59,grade-8,Grade 8,"Grade 8",2
212,59,grade-9,Grade 9,"Grade 9",3
213,60,form-1,Form 1,"Form 1",1
214,60,form-2,Form 2,"Form 2",2
215,60,form-3,Form 3,"Form 3",3
216,60,form-4,Form 4,"Form 4",4
217,61,grade-10,Grade 10,"Grade 10",1
218,61,grade-11,Grade 11,"Grade 11",2
219,61,grade-12,Grade 12,"Grade 12",3
220,62,pp1,PP1,"Pre-Primary 1",1
221,62,pp2,PP2,"Pre-Primary 2",2
222,62,grade-1,Grade 1,"Grade 1",3
223,62,grade-2,Grade 2,"Grade 2",4
224,62,grade-3,Grade 3,"Grade 3",5
225,63,grade-4,Grade 4,"Grade 4",1
226,63,grade-5,Grade 5,"Grade 5",2
227,63,grade-6,Grade 6,"Grade 6",3
228,64,grade-7,Grade 7,"Grade 7",1
229,64,grade-8,Grade 8,"Grade 8",2
230,64,grade-9,Grade 9,"Grade 9",3
231,65,form-1,Form 1,"Form 1",1
232,65,form-2,Form 2,"Form 2",2
233,65,form-3,Form 3,"Form 3",3
234,65,form-4,Form 4,"Form 4",4
235,66,grade-10,Grade 10,"Grade 10",1
236,66,grade-11,Grade 11,"Grade 11",2
237,66,grade-12,Grade 12,"Grade 12",3
238,67,year-1,Year 1,"Year 1",1
239,67,year-2,Year 2,"Year 2",2
240,67,year-3,Year 3,"Year 3",3
